participant,name,rollno,age,lefrig,prpcogsciexp,INFOSCREEN,TIME_start,TIME_end,TIME_total
s.bf7d249b-ee84-4bdc-9ff4-dffd4ae95aa4.txt,5823,5583,2740,1977,"",0,2020-10-20-19-29,"",""
s.0c6887ae-a739-4de3-b9b6-041e45b67b71.txt,5984,5846,4603,2544,"",0,2020-10-20-20-15,"",""
s.09db6d06-c4c1-4b29-8cd7-2c98214c9260.txt,4387,2722,1821,2391,"",0,2020-10-05-09-10,2020-10-05-09-16,6
s.3fce1dca-97a6-4362-9067-f1403f0e5dec.txt,8829,7602,3782,3643,"",0,2020-10-04-19-57,"",""
s.c21375fc-0f95-4bc4-8565-a834e95a40b9.txt,10901,9504,5185,6232,"",0,2020-11-03-07-12,2020-11-03-07-24,12
s.f07b7b80-3eaf-4226-add9-a48b5c42dfb6.txt,6263,8995,2996,3081,"",0,2020-10-11-12-23,2020-10-11-12-32,9
s.53badbfe-8b59-49bd-864c-67bf940c616e.txt,6136,4734,4451,2862,"",0,2020-10-20-19-55,"",""
s.925560f1-5ee1-49d7-a776-4d019c8676fd.txt,15877,6859,3060,4041,"",0,2020-10-05-10-15,2020-10-05-10-24,9
s.367ef1c0-3fb8-40ba-8c7a-8201c81b2369.txt,13370,6663,3849,3424,"",0,2020-10-05-13-06,2020-10-05-13-22,16
s.be6c883e-031e-4267-aa66-139e0469cfce.txt,8068,787,531,"","",0,2020-10-07-08-47,"",""
s.0c1644fb-68fa-4226-bdda-7979bc24c5f3.txt,4824,7019,4107,2581,"",0,2020-10-20-20-19,2020-10-20-20-29,10
s.7d163b4b-cf37-4de1-a0e4-b36ae4ee625e.txt,2125,840,1015,3817,"",0,2020-10-04-20-06,"",""
s.b5b91517-2413-4688-84a5-d5095a18b73a.txt,"","","","","",0,2020-10-19-15-56,"",""
s.bbf2648f-5c4a-4c5e-a8f8-1264a14a40b4.txt,9318,10155,3300,2647,"",0,2020-10-11-14-02,"",""
s.f179d6ad-180a-471d-aae9-0ff3ad519477.txt,5462,6975,3019,3013,"",0,2020-11-03-04-25,"",""
s.26f9936a-41d9-45ae-9fff-08b928f51be2.txt,5349,849,1533,3831,"",0,2020-11-03-09-34,"",""
s.ede98bce-8e2a-4e07-a79a-77ed5a6f2710.txt,6197,2060,1103,2274,"",0,2020-10-04-19-40,"",""
s.e47ebce2-b867-4ad7-8043-a6616d4bbe41.txt,6842,6747,4619,5368,"",0,2020-11-04-10-48,2020-11-04-10-59,11
s.40c22250-7a41-433c-93ca-f75654facf70.txt,11169,10643,43128,3701,"",0,2020-10-20-07-12,2020-10-20-07-27,15
s.fb761d0d-6da2-4602-9ade-f63f962d0d18.txt,6635,6149,3766,3119,"",0,2020-10-05-08-16,2020-10-05-08-26,10
s.37eab0be-8c3a-4aa4-9bfe-d3d541e80a76.txt,11635,13957,4448,5778,"",0,2020-10-29-18-57,2020-10-29-19-06,9
s.d88ad406-0c64-4102-bff7-0d002f6a96b5.txt,5653,8306,2215,3646,"",0,2020-10-04-19-35,"",""
s.96158bda-377c-437c-bd0f-0d7f2a583c9c.txt,7444,6005,3590,4673,"",0,2020-10-07-14-52,2020-10-07-15-04,12
s.99e24721-eae5-4568-a6a2-c1b61350d653.txt,9038,6883,7901,4761,"",0,2020-10-05-14-39,"",""
s.0e2f6273-effb-461e-99b1-34db2634a662.txt,5761,4506,5956,2706,"",0,2020-10-04-19-37,"",""
s.7d6e374c-ea69-4125-a8c0-1e3552ec0716.txt,5221,5988,3501,2695,"",0,2020-10-07-17-42,2020-10-07-17-51,9
s.e6d981aa-2324-4971-8bb5-6776eb48e63e.txt,88028,4587,2369,2680,"",0,2020-10-04-20-44,2020-10-04-20-55,11
s.590383a2-d1e0-4f15-b906-8c8dc1b06d49.txt,8970,7357,3282,5183,"",0,2020-10-17-09-00,2020-10-17-09-10,10
s.891f6604-a2f9-4da2-a376-8cbebc467ae1.txt,11763,6108,8529,2455,"",0,2020-11-03-11-17,"",""
s.36c752d9-5a24-486e-9d83-74bacb238245.txt,5039,341735,3977,2337,"",0,2020-10-11-07-30,"",""
s.f7e36d88-49ed-474b-a878-bb2eed7ecb50.txt,"","","","","",0,2020-11-03-16-28,"",""
s.13db41f9-2df9-4a0d-8ffa-c6d25d2b2aec.txt,2518,2458,"","","",0,2020-10-04-21-40,"",""
s.58d9ebc4-a468-42e3-8c11-13a0d51591ff.txt,5314,3900,2066,2065,"",0,2020-10-04-19-38,"",""
s.e7fc7ba0-3455-44ee-80bd-f7b689e79c17.txt,8484,7773,3287,3777,"",0,2020-10-05-07-30,2020-10-05-07-40,10
s.0daf2c62-07c3-4257-8b9a-6aaa2148f9e3.txt,34579,6401,3572,4984,"",0,2020-10-05-09-38,2020-10-05-09-48,10
s.c02e9ec5-baca-4058-808b-70c0d86a727f.txt,5343,6806,6430,6917,"",0,2020-10-06-10-54,2020-10-06-11-49,55
s.9dda1915-f955-46cf-b43f-68ca10d95ac2.txt,3683,2115,2518,3730,"",0,2020-10-04-19-38,"",""
s.14e738ce-58b6-43e9-a02c-08d9b22479d2.txt,5275,4794,3857,5163,"",0,2020-10-07-08-58,2020-10-07-09-05,7
